"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2019年06月21日"

"***","調査又は集計していないもの"
"-","データが得られないもの"
"X","数値が秘匿されているもの"

"","","","","","A1101","","A110101","","A110102",""
"調査年 コード","調査年","地域 コード","地域","/項目","A1101_総人口【人】","注釈","A110101_総人口（男）【人】","注釈","A110102_総人口（女）【人】","注釈"
"2015100000","2015年度","02207","青森県 三沢市","","40,196","","19,852","","20,344",""
"2015100000","2015年度","02208","青森県 むつ市","","58,493","","28,057","","30,436",""
"2015100000","2015年度","02209","青森県 つがる市","","33,316","","15,547","","17,769",""
"2015100000","2015年度","02210","青森県 平川市","","32,106","","14,876","","17,230",""
"2015100000","2015年度","02301","青森県 平内町","","11,142","","5,275","","5,867",""
"2015100000","2015年度","02303","青森県 今別町","","2,756","","1,293","","1,463",""
"2015100000","2015年度","02304","青森県 蓬田村","","2,896","","1,368","","1,528",""
"2015100000","2015年度","02307","青森県 外ヶ浜町","","6,198","","2,884","","3,314",""
"2015100000","2015年度","02321","青森県 鰺ヶ沢町","","10,126","","4,580","","5,546",""
"2015100000","2015年度","02323","青森県 深浦町","","8,429","","3,876","","4,553",""
"2015100000","2015年度","02343","青森県 西目屋村","","1,415","","706","","709",""
"2015100000","2015年度","02361","青森県 藤崎町","","15,179","","6,985","","8,194",""
"2015100000","2015年度","02362","青森県 大鰐町","","9,676","","4,385","","5,291",""
"2015100000","2015年度","02367","青森県 田舎館村","","7,783","","3,657","","4,126",""
"2015100000","2015年度","02381","青森県 板柳町","","13,935","","6,347","","7,588",""
"2015100000","2015年度","02384","青森県 鶴田町","","13,392","","6,235","","7,157",""
"2015100000","2015年度","02387","青森県 中泊町","","11,187","","5,224","","5,963",""
"2015100000","2015年度","02401","青森県 野辺地町","","13,524","","6,248","","7,276",""
"2015100000","2015年度","02402","青森県 七戸町","","15,709","","7,433","","8,276",""
"2015100000","2015年度","02405","青森県 六戸町","","10,423","","4,996","","5,427",""
"2015100000","2015年度","02406","青森県 横浜町","","4,535","","2,200","","2,335",""
"2015100000","2015年度","02408","青森県 東北町","","17,955","","8,506","","9,449",""
"2015100000","2015年度","02411","青森県 六ヶ所村","","10,536","","5,816","","4,720",""
"2015100000","2015年度","02412","青森県 おいらせ町","","24,222","","11,565","","12,657",""
"2015100000","2015年度","02423","青森県 大間町","","5,227","","2,650","","2,577",""
"2015100000","2015年度","02424","青森県 東通村","","6,607","","3,433","","3,174",""
"2015100000","2015年度","02425","青森県 風間浦村","","1,976","","981","","995",""
"2015100000","2015年度","02426","青森県 佐井村","","2,148","","1,056","","1,092",""
"2015100000","2015年度","02441","青森県 三戸町","","10,135","","4,753","","5,382",""
"2015100000","2015年度","02442","青森県 五戸町","","17,433","","8,286","","9,147",""
"2015100000","2015年度","02443","青森県 田子町","","5,554","","2,599","","2,955",""
"2015100000","2015年度","02445","青森県 南部町","","18,312","","8,524","","9,788",""
"2015100000","2015年度","02446","青森県 階上町","","14,025","","6,984","","7,041",""
"2015100000","2015年度","02450","青森県 新郷村","","2,509","","1,200","","1,309",""
"2015100000","2015年度","03201","岩手県 盛岡市","","297,631","","141,089","","156,542",""
"2015100000","2015年度","03202","岩手県 宮古市","","56,676","","27,868","","28,808",""
"2015100000","2015年度","03203","岩手県 大船渡市","","38,058","","18,581","","19,477",""
"2015100000","2015年度","03205","岩手県 花巻市","","97,702","","46,260","","51,442",""
"2015100000","2015年度","03206","岩手県 北上市","","93,511","","46,250","","47,261",""
"2015100000","2015年度","03207","岩手県 久慈市","","35,642","","17,027","","18,615",""
"2015100000","2015年度","03208","岩手県 遠野市","","28,062","","13,526","","14,536",""
"2015100000","2015年度","03209","岩手県 一関市","","121,583","","58,804","","62,779",""
"2015100000","2015年度","03210","岩手県 陸前高田市","","19,758","","9,736","","10,022",""
"2015100000","2015年度","03211","岩手県 釜石市","","36,802","","18,105","","18,697",""
"2015100000","2015年度","03213","岩手県 二戸市","","27,611","","12,949","","14,662",""
"2015100000","2015年度","03214","岩手県 八幡平市","","26,355","","12,621","","13,734",""
"2015100000","2015年度","03215","岩手県 奥州市","","119,422","","57,377","","62,045",""
"2015100000","2015年度","03216","岩手県 滝沢市","","55,463","","27,095","","28,368",""
"2015100000","2015年度","03301","岩手県 雫石町","","16,981","","8,087","","8,894",""
"2015100000","2015年度","03302","岩手県 葛巻町","","6,344","","3,026","","3,318",""
"2015100000","2015年度","03303","岩手県 岩手町","","13,692","","6,626","","7,066",""
"2015100000","2015年度","03321","岩手県 紫波町","","32,614","","15,482","","17,132",""
"2015100000","2015年度","03322","岩手県 矢巾町","","27,678","","13,155","","14,523",""
"2015100000","2015年度","03366","岩手県 西和賀町","","5,880","","2,734","","3,146",""
"2015100000","2015年度","03381","岩手県 金ケ崎町","","15,895","","8,067","","7,828",""
"2015100000","2015年度","03402","岩手県 平泉町","","7,868","","3,762","","4,106",""
"2015100000","2015年度","03441","岩手県 住田町","","5,720","","2,764","","2,956",""
"2015100000","2015年度","03461","岩手県 大槌町","","11,759","","5,778","","5,981",""
"2015100000","2015年度","03482","岩手県 山田町","","15,826","","7,732","","8,094",""
"2015100000","2015年度","03483","岩手県 岩泉町","","9,841","","4,788","","5,053",""
"2015100000","2015年度","03484","岩手県 田野畑村","","3,466","","1,719","","1,747",""
"2015100000","2015年度","03485","岩手県 普代村","","2,795","","1,379","","1,416",""
"2015100000","2015年度","03501","岩手県 軽米町","","9,333","","4,489","","4,844",""
"2015100000","2015年度","03503","岩手県 野田村","","4,149","","1,962","","2,187",""
"2015100000","2015年度","03506","岩手県 九戸村","","5,865","","2,804","","3,061",""
"2015100000","2015年度","03507","岩手県 洋野町","","16,693","","7,796","","8,897",""
"2015100000","2015年度","03524","岩手県 一戸町","","12,919","","6,146","","6,773",""
"2015100000","2015年度","04100","宮城県 仙台市","","1,082,159","","527,170","","554,989",""
"2015100000","2015年度","04101","宮城県 仙台市 青葉区","","310,183","","150,535","","159,648",""
"2015100000","2015年度","04102","宮城県 仙台市 宮城野区","","194,825","","95,651","","99,174",""
"2015100000","2015年度","04103","宮城県 仙台市 若林区","","133,498","","66,926","","66,572",""
"2015100000","2015年度","04104","宮城県 仙台市 太白区","","226,855","","109,310","","117,545",""
"2015100000","2015年度","04105","宮城県 仙台市 泉区","","216,798","","104,748","","112,050",""
"2015100000","2015年度","04202","宮城県 石巻市","","147,214","","71,826","","75,388",""
"2015100000","2015年度","04203","宮城県 塩竈市","","54,187","","25,762","","28,425",""
"2015100000","2015年度","04205","宮城県 気仙沼市","","64,988","","31,772","","33,216",""
"2015100000","2015年度","04206","宮城県 白石市","","35,272","","17,118","","18,154",""
"2015100000","2015年度","04207","宮城県 名取市","","76,668","","37,577","","39,091",""
"2015100000","2015年度","04208","宮城県 角田市","","30,180","","14,844","","15,336",""
"2015100000","2015年度","04209","宮城県 多賀城市","","62,096","","31,050","","31,046",""
"2015100000","2015年度","04211","宮城県 岩沼市","","44,678","","22,118","","22,560",""
"2015100000","2015年度","04212","宮城県 登米市","","81,959","","39,837","","42,122",""
"2015100000","2015年度","04213","宮城県 栗原市","","69,906","","33,649","","36,257",""
"2015100000","2015年度","04214","宮城県 東松島市","","39,503","","19,408","","20,095",""
"2015100000","2015年度","04215","宮城県 大崎市","","133,391","","65,120","","68,271",""
"2015100000","2015年度","04216","宮城県 富谷市","","51,591","","25,171","","26,420",""
"2015100000","2015年度","04301","宮城県 蔵王町","","12,316","","6,001","","6,315",""
"2015100000","2015年度","04302","宮城県 七ヶ宿町","","1,461","","722","","739",""
"2015100000","2015年度","04321","宮城県 大河原町","","23,798","","11,642","","12,156",""
