,调查年份,地域数字ID,都道府县,市町村,人口数量,人口数量男,人口数量女
3341,2010年度,31-401,鳥取県,日南町,5460,2508.0,2952.0
3342,2010年度,31-402,鳥取県,日野町,3745,1716.0,2029.0
3343,2010年度,31-403,鳥取県,江府町,3379,1558.0,1821.0
3344,2010年度,32-201,島根県,松江市,208613,100661.0,107952.0
3345,2010年度,32-202,島根県,浜田市,61713,30266.0,31447.0
3346,2010年度,32-203,島根県,出雲市,171485,82089.0,89396.0
3347,2010年度,32-204,島根県,益田市,50015,23442.0,26573.0
3348,2010年度,32-205,島根県,大田市,37996,17761.0,20235.0
3349,2010年度,32-206,島根県,安来市,41836,19897.0,21939.0
3350,2010年度,32-207,島根県,江津市,25697,11916.0,13781.0
3351,2010年度,32-209,島根県,雲南市,41917,20039.0,21878.0
3352,2010年度,32-343,島根県,奥出雲町,14456,6899.0,7557.0
3353,2010年度,32-386,島根県,飯南町,5534,2635.0,2899.0
3354,2010年度,32-441,島根県,川本町,3900,1833.0,2067.0
3355,2010年度,32-448,島根県,美郷町,5351,2510.0,2841.0
3356,2010年度,32-449,島根県,邑南町,11959,5612.0,6347.0
3357,2010年度,32-501,島根県,津和野町,8427,3899.0,4528.0
3358,2010年度,32-505,島根県,吉賀町,6810,3175.0,3635.0
3359,2010年度,32-525,島根県,海士町,2374,1153.0,1221.0
3360,2010年度,32-526,島根県,西ノ島町,3136,1505.0,1631.0
3361,2010年度,32-527,島根県,知夫村,657,319.0,338.0
3362,2010年度,32-528,島根県,隠岐の島町,15521,7380.0,8141.0
3363,2010年度,33-100,岡山県,岡山市,709584,341158.0,368426.0
3368,2010年度,33-202,岡山県,倉敷市,475513,230061.0,245452.0
3369,2010年度,33-203,岡山県,津山市,106788,50787.0,56001.0
3370,2010年度,33-204,岡山県,玉野市,64588,31274.0,33314.0
3371,2010年度,33-205,岡山県,笠岡市,54225,25566.0,28659.0
3372,2010年度,33-207,岡山県,井原市,43927,20880.0,23047.0
3373,2010年度,33-208,岡山県,総社市,66201,31914.0,34287.0
3374,2010年度,33-209,岡山県,高梁市,34963,16703.0,18260.0
3375,2010年度,33-210,岡山県,新見市,33870,16004.0,17866.0
3376,2010年度,33-211,岡山県,備前市,37839,17974.0,19865.0
3377,2010年度,33-212,岡山県,瀬戸内市,37852,17927.0,19925.0
3378,2010年度,33-213,岡山県,赤磐市,43458,20606.0,22852.0
3379,2010年度,33-214,岡山県,真庭市,48964,23126.0,25838.0
3380,2010年度,33-215,岡山県,美作市,30498,14391.0,16107.0
3381,2010年度,33-216,岡山県,浅口市,36114,17381.0,18733.0
3382,2010年度,33-346,岡山県,和気町,15362,7191.0,8171.0
3383,2010年度,33-423,岡山県,早島町,12214,5871.0,6343.0
3384,2010年度,33-445,岡山県,里庄町,10916,5142.0,5774.0
3385,2010年度,33-461,岡山県,矢掛町,15092,7095.0,7997.0
3386,2010年度,33-586,岡山県,新庄村,957,451.0,506.0
3387,2010年度,33-606,岡山県,鏡野町,13580,6422.0,7158.0
3388,2010年度,33-622,岡山県,勝央町,11195,5342.0,5853.0
3389,2010年度,33-623,岡山県,奈義町,6085,2981.0,3104.0
3390,2010年度,33-643,岡山県,西粟倉村,1520,714.0,806.0
3391,2010年度,33-663,岡山県,久米南町,5296,2539.0,2757.0
3392,2010年度,33-666,岡山県,美咲町,15642,7420.0,8222.0
3393,2010年度,33-681,岡山県,吉備中央町,13033,6248.0,6785.0
3394,2010年度,34-100,広島県,広島市,1173843,565482.0,608361.0
3403,2010年度,34-202,広島県,呉市,239973,115432.0,124541.0
3404,2010年度,34-203,広島県,竹原市,28644,13438.0,15206.0
3405,2010年度,34-204,広島県,三原市,100509,47865.0,52644.0
3406,2010年度,34-205,広島県,尾道市,145202,69283.0,75919.0
3407,2010年度,34-207,広島県,福山市,461357,222729.0,238628.0
3408,2010年度,34-208,広島県,府中市,42563,20366.0,22197.0
3409,2010年度,34-209,広島県,三次市,56605,26731.0,29874.0
3410,2010年度,34-210,広島県,庄原市,40244,19158.0,21086.0
3411,2010年度,34-211,広島県,大竹市,28836,13939.0,14897.0
3412,2010年度,34-212,広島県,東広島市,190135,96952.0,93183.0
3413,2010年度,34-213,広島県,廿日市市,114038,54101.0,59937.0
3414,2010年度,34-214,広島県,安芸高田市,31487,14993.0,16494.0
3415,2010年度,34-215,広島県,江田島市,27031,13272.0,13759.0
3416,2010年度,34-302,広島県,府中町,50442,24632.0,25810.0
3417,2010年度,34-304,広島県,海田町,28475,14096.0,14379.0
3418,2010年度,34-307,広島県,熊野町,24533,11808.0,12725.0
3419,2010年度,34-309,広島県,坂町,13262,6301.0,6961.0
3420,2010年度,34-368,広島県,安芸太田町,7255,3349.0,3906.0
3421,2010年度,34-369,広島県,北広島町,19969,9556.0,10413.0
3422,2010年度,34-431,広島県,大崎上島町,8448,4003.0,4445.0
3423,2010年度,34-462,広島県,世羅町,17549,8291.0,9258.0
3424,2010年度,34-545,広島県,神石高原町,10350,4894.0,5456.0
3425,2010年度,35-201,山口県,下関市,280947,130105.0,150842.0
3426,2010年度,35-202,山口県,宇部市,173772,83000.0,90772.0
3427,2010年度,35-203,山口県,山口市,196628,92997.0,103631.0
3428,2010年度,35-204,山口県,萩市,53747,24474.0,29273.0
3429,2010年度,35-206,山口県,防府市,116611,56191.0,60420.0
3430,2010年度,35-207,山口県,下松市,55012,26535.0,28477.0
3431,2010年度,35-208,山口県,岩国市,143857,67597.0,76260.0
3432,2010年度,35-210,山口県,光市,53004,25237.0,27767.0
3433,2010年度,35-211,山口県,長門市,38349,17450.0,20899.0
3434,2010年度,35-212,山口県,柳井市,34730,16070.0,18660.0
3435,2010年度,35-213,山口県,美祢市,28630,13287.0,15343.0
3436,2010年度,35-215,山口県,周南市,149487,72150.0,77337.0
3437,2010年度,35-216,山口県,山陽小野田市,64550,30278.0,34272.0
3438,2010年度,35-305,山口県,周防大島町,19084,8580.0,10504.0
3439,2010年度,35-321,山口県,和木町,6378,3193.0,3185.0
3440,2010年度,35-341,山口県,上関町,3332,1530.0,1802.0
3441,2010年度,35-343,山口県,田布施町,15986,7562.0,8424.0
3442,2010年度,35-344,山口県,平生町,13491,6274.0,7217.0
3443,2010年度,35-502,山口県,阿武町,3743,1666.0,2077.0
3444,2010年度,36-201,徳島県,徳島市,264548,125619.0,138929.0
